record_id,corpus_index,representation_class,generator_shape,n,transformation,transformation_class,contract,contract_class,subset_size_m,n_subsets_at_m,zero_count_at_m,minimal_k,irreducible
case_0279,305,R3,nested,5,T4_context,relational,P1_result,noncancelling,4,5,0,1,False
case_0280,307,R1,repeat,4,T4_context,relational,P7_contradiction,noncancelling,2,6,6,1,False
case_0281,307,R1,repeat,4,T4_context,relational,P7_contradiction,noncancelling,3,4,4,1,False
case_0282,311,R4,nested,5,T4_context,relational,P2_len,noncancelling,2,10,0,1,False
case_0283,311,R4,nested,5,T4_context,relational,P2_len,noncancelling,3,10,0,1,False
case_0284,311,R4,nested,5,T4_context,relational,P2_len,noncancelling,4,5,0,1,False
case_0285,316,R2,overlap,4,T2_dedup,relational,P5_uncertainty,noncancelling,2,6,2,irreducible,True
case_0286,316,R2,overlap,4,T2_dedup,relational,P5_uncertainty,noncancelling,3,4,0,1,False
case_0287,317,R3,same_value_diff_source,3,T6_meta_preserving,elementwise,P6_scope,noncancelling,2,3,0,1,False
case_0288,320,R2,alternating,3,T7_meta_destroying,elementwise,P8_composite,noncancelling,2,3,0,1,False
case_0289,321,R1,same_value_diff_source,3,T6_meta_preserving,elementwise,P2_len,noncancelling,2,3,0,1,False
case_0290,323,R2,random,5,T4_context,relational,P3_required,noncancelling,2,10,0,1,False
case_0291,323,R2,random,5,T4_context,relational,P3_required,noncancelling,3,10,0,1,False
case_0292,323,R2,random,5,T4_context,relational,P3_required,noncancelling,4,5,0,1,False
case_0293,326,R1,random,3,T2_dedup,relational,P4_provenance,noncancelling,2,3,0,1,False
case_0294,328,R4,same_value_diff_source,3,T8_interacting,relational,P2_len,noncancelling,2,3,3,1,False
case_0295,332,R2,nested,5,T1_stopword,elementwise,P6_scope,noncancelling,2,10,1,1,False
case_0296,332,R2,nested,5,T1_stopword,elementwise,P6_scope,noncancelling,3,10,0,1,False
case_0297,332,R2,nested,5,T1_stopword,elementwise,P6_scope,noncancelling,4,5,0,1,False
case_0298,334,R4,overlap,4,T5_reference,elementwise,P5_uncertainty,noncancelling,2,6,0,1,False
case_0299,334,R4,overlap,4,T5_reference,elementwise,P5_uncertainty,noncancelling,3,4,0,1,False
case_0300,335,R4,overlap,4,T7_meta_destroying,elementwise,P4_provenance,noncancelling,2,6,0,1,False
case_0301,335,R4,overlap,4,T7_meta_destroying,elementwise,P4_provenance,noncancelling,3,4,0,1,False
case_0302,336,R2,repeat,3,T1_stopword,elementwise,P5_uncertainty,noncancelling,2,3,0,1,False
case_0303,338,R2,random,3,T3_normalize,elementwise,P9_balance,cancelling,2,3,3,1,False
case_0304,341,R2,nested,5,T2_dedup,relational,P8_composite,noncancelling,2,10,3,1,False
case_0305,341,R2,nested,5,T2_dedup,relational,P8_composite,noncancelling,3,10,1,1,False
case_0306,341,R2,nested,5,T2_dedup,relational,P8_composite,noncancelling,4,5,0,1,False
case_0307,342,R1,same_value_diff_source,3,T2_dedup,relational,P8_composite,noncancelling,2,3,1,1,False
case_0308,343,R2,same_value_diff_source,3,T1_stopword,elementwise,P3_required,noncancelling,2,3,0,1,False
case_0309,346,R3,overlap,4,T3_normalize,elementwise,P8_composite,noncancelling,2,6,0,1,False
case_0310,346,R3,overlap,4,T3_normalize,elementwise,P8_composite,noncancelling,3,4,0,1,False
case_0311,347,R1,same_value_diff_source,3,T7_meta_destroying,elementwise,P2_len,noncancelling,2,3,0,1,False
case_0312,349,R3,overlap,4,T3_normalize,elementwise,P7_contradiction,noncancelling,2,6,0,1,False
case_0313,349,R3,overlap,4,T3_normalize,elementwise,P7_contradiction,noncancelling,3,4,0,1,False
case_0314,354,R1,nested,5,T3_normalize,elementwise,P1_result,noncancelling,2,10,0,1,False
case_0315,354,R1,nested,5,T3_normalize,elementwise,P1_result,noncancelling,3,10,0,1,False
case_0316,354,R1,nested,5,T3_normalize,elementwise,P1_result,noncancelling,4,5,0,1,False
case_0317,358,R1,overlap,4,T6_meta_preserving,elementwise,P6_scope,noncancelling,2,6,0,1,False
case_0318,358,R1,overlap,4,T6_meta_preserving,elementwise,P6_scope,noncancelling,3,4,0,1,False
case_0319,359,R1,overlap,4,T3_normalize,elementwise,P6_scope,noncancelling,2,6,0,1,False
case_0320,359,R1,overlap,4,T3_normalize,elementwise,P6_scope,noncancelling,3,4,0,1,False
case_0321,361,R1,same_value_diff_source,3,T4_context,relational,P1_result,noncancelling,2,3,3,1,False
case_0322,365,R3,nested,5,T5_reference,elementwise,P2_len,noncancelling,2,10,0,1,False
case_0323,365,R3,nested,5,T5_reference,elementwise,P2_len,noncancelling,3,10,0,1,False
case_0324,365,R3,nested,5,T5_reference,elementwise,P2_len,noncancelling,4,5,0,1,False
case_0325,367,R1,overlap,4,T4_context,relational,P6_scope,noncancelling,2,6,4,irreducible,True
case_0326,367,R1,overlap,4,T4_context,relational,P6_scope,noncancelling,3,4,0,1,False
case_0327,370,R2,random,4,T4_context,relational,P4_provenance,noncancelling,2,6,0,1,False
case_0328,370,R2,random,4,T4_context,relational,P4_provenance,noncancelling,3,4,0,1,False
case_0329,374,R1,overlap,4,T6_meta_preserving,elementwise,P1_result,noncancelling,2,6,0,1,False
case_0330,374,R1,overlap,4,T6_meta_preserving,elementwise,P1_result,noncancelling,3,4,0,1,False
case_0331,379,R3,overlap,4,T8_interacting,relational,P3_required,noncancelling,2,6,5,irreducible,True
case_0332,379,R3,overlap,4,T8_interacting,relational,P3_required,noncancelling,3,4,2,2,False
case_0333,381,R2,same_value_diff_source,3,T2_dedup,relational,P2_len,noncancelling,2,3,3,1,False
case_0334,382,R3,overlap,4,T1_stopword,elementwise,P3_required,noncancelling,2,6,1,1,False
case_0335,382,R3,overlap,4,T1_stopword,elementwise,P3_required,noncancelling,3,4,0,1,False
case_0336,383,R1,repeat,4,T5_reference,elementwise,P5_uncertainty,noncancelling,2,6,0,1,False
case_0337,383,R1,repeat,4,T5_reference,elementwise,P5_uncertainty,noncancelling,3,4,0,1,False
case_0338,384,R2,nested,5,T1_stopword,elementwise,P9_balance,cancelling,2,10,10,1,False
case_0339,384,R2,nested,5,T1_stopword,elementwise,P9_balance,cancelling,3,10,10,1,False
case_0340,384,R2,nested,5,T1_stopword,elementwise,P9_balance,cancelling,4,5,5,1,False
case_0341,387,R1,repeat,3,T4_context,relational,P6_scope,noncancelling,2,3,3,1,False
case_0342,389,R1,overlap,4,T3_normalize,elementwise,P1_result,noncancelling,2,6,0,1,False
case_0343,389,R1,overlap,4,T3_normalize,elementwise,P1_result,noncancelling,3,4,0,1,False
case_0344,390,R2,overlap,4,T5_reference,elementwise,P4_provenance,noncancelling,2,6,0,1,False
case_0345,390,R2,overlap,4,T5_reference,elementwise,P4_provenance,noncancelling,3,4,0,1,False
case_0346,391,R1,random,3,T7_meta_destroying,elementwise,P2_len,noncancelling,2,3,0,1,False
case_0347,393,R1,overlap,4,T3_normalize,elementwise,P8_composite,noncancelling,2,6,0,1,False
case_0348,393,R1,overlap,4,T3_normalize,elementwise,P8_composite,noncancelling,3,4,0,1,False
case_0349,399,R3,alternating,3,T3_normalize,elementwise,P1_result,noncancelling,2,3,0,1,False
case_0350,400,R3,random,4,T5_reference,elementwise,P9_balance,cancelling,2,6,6,1,False
case_0351,400,R3,random,4,T5_reference,elementwise,P9_balance,cancelling,3,4,4,1,False
case_0352,402,R1,same_value_diff_source,3,T6_meta_preserving,elementwise,P1_result,noncancelling,2,3,0,1,False
case_0353,403,R2,nested,5,T2_dedup,relational,P8_composite,noncancelling,2,10,3,1,False
case_0354,403,R2,nested,5,T2_dedup,relational,P8_composite,noncancelling,3,10,1,1,False
case_0355,403,R2,nested,5,T2_dedup,relational,P8_composite,noncancelling,4,5,0,1,False
case_0356,409,R4,overlap,4,T1_stopword,elementwise,P5_uncertainty,noncancelling,2,6,1,1,False
case_0357,409,R4,overlap,4,T1_stopword,elementwise,P5_uncertainty,noncancelling,3,4,0,1,False
case_0358,413,R2,alternating,5,T1_stopword,elementwise,P4_provenance,noncancelling,2,10,1,1,False
case_0359,413,R2,alternating,5,T1_stopword,elementwise,P4_provenance,noncancelling,3,10,0,1,False
case_0360,413,R2,alternating,5,T1_stopword,elementwise,P4_provenance,noncancelling,4,5,0,1,False
case_0361,414,R3,repeat,3,T5_reference,elementwise,P4_provenance,noncancelling,2,3,0,1,False
case_0362,419,R1,same_value_diff_source,3,T8_interacting,relational,P1_result,noncancelling,2,3,3,1,False
case_0363,421,R3,nested,5,T6_meta_preserving,elementwise,P7_contradiction,noncancelling,2,10,0,1,False
case_0364,421,R3,nested,5,T6_meta_preserving,elementwise,P7_contradiction,noncancelling,3,10,0,1,False
case_0365,421,R3,nested,5,T6_meta_preserving,elementwise,P7_contradiction,noncancelling,4,5,0,1,False
case_0366,422,R3,overlap,4,T2_dedup,relational,P5_uncertainty,noncancelling,2,6,4,irreducible,True
case_0367,422,R3,overlap,4,T2_dedup,relational,P5_uncertainty,noncancelling,3,4,0,1,False
case_0368,425,R4,overlap,4,T2_dedup,relational,P1_result,noncancelling,2,6,4,irreducible,True
case_0369,425,R4,overlap,4,T2_dedup,relational,P1_result,noncancelling,3,4,0,1,False
case_0370,426,R2,alternating,5,T4_context,relational,P2_len,noncancelling,2,10,0,1,False
case_0371,426,R2,alternating,5,T4_context,relational,P2_len,noncancelling,3,10,0,1,False
case_0372,426,R2,alternating,5,T4_context,relational,P2_len,noncancelling,4,5,0,1,False
case_0373,428,R4,same_value_diff_source,3,T8_interacting,relational,P3_required,noncancelling,2,3,3,1,False
case_0374,429,R1,nested,5,T2_dedup,relational,P2_len,noncancelling,2,10,6,irreducible,True
case_0375,429,R1,nested,5,T2_dedup,relational,P2_len,noncancelling,3,10,3,irreducible,True
case_0376,429,R1,nested,5,T2_dedup,relational,P2_len,noncancelling,4,5,0,1,False
case_0377,430,R2,alternating,4,T8_interacting,relational,P3_required,noncancelling,2,6,3,irreducible,True
case_0378,430,R2,alternating,4,T8_interacting,relational,P3_required,noncancelling,3,4,0,1,False
case_0379,433,R4,overlap,4,T5_reference,elementwise,P3_required,noncancelling,2,6,0,1,False
case_0380,433,R4,overlap,4,T5_reference,elementwise,P3_required,noncancelling,3,4,0,1,False
case_0381,435,R1,alternating,3,T6_meta_preserving,elementwise,P6_scope,noncancelling,2,3,0,1,False
case_0382,436,R4,overlap,4,T3_normalize,elementwise,P7_contradiction,noncancelling,2,6,0,1,False
case_0383,436,R4,overlap,4,T3_normalize,elementwise,P7_contradiction,noncancelling,3,4,0,1,False
case_0384,438,R3,repeat,3,T4_context,relational,P1_result,noncancelling,2,3,3,1,False
case_0385,440,R2,overlap,4,T7_meta_destroying,elementwise,P1_result,noncancelling,2,6,0,1,False
case_0386,440,R2,overlap,4,T7_meta_destroying,elementwise,P1_result,noncancelling,3,4,0,1,False
case_0387,447,R2,random,4,T2_dedup,relational,P8_composite,noncancelling,2,6,0,1,False
case_0388,447,R2,random,4,T2_dedup,relational,P8_composite,noncancelling,3,4,0,1,False
case_0389,449,R4,same_value_diff_source,3,T5_reference,elementwise,P3_required,noncancelling,2,3,0,1,False
case_0390,451,R1,random,4,T4_context,relational,P2_len,noncancelling,2,6,0,1,False
case_0391,451,R1,random,4,T4_context,relational,P2_len,noncancelling,3,4,0,1,False
case_0392,453,R2,nested,5,T2_dedup,relational,P1_result,noncancelling,2,10,6,irreducible,True
case_0393,453,R2,nested,5,T2_dedup,relational,P1_result,noncancelling,3,10,3,irreducible,True
case_0394,453,R2,nested,5,T2_dedup,relational,P1_result,noncancelling,4,5,0,1,False
case_0395,455,R1,overlap,4,T7_meta_destroying,elementwise,P8_composite,noncancelling,2,6,0,1,False
case_0396,455,R1,overlap,4,T7_meta_destroying,elementwise,P8_composite,noncancelling,3,4,0,1,False
case_0397,460,R3,alternating,5,T2_dedup,relational,P4_provenance,noncancelling,2,10,6,irreducible,True
case_0398,460,R3,alternating,5,T2_dedup,relational,P4_provenance,noncancelling,3,10,3,irreducible,True
case_0399,460,R3,alternating,5,T2_dedup,relational,P4_provenance,noncancelling,4,5,0,1,False
case_0400,461,R3,repeat,4,T4_context,relational,P8_composite,noncancelling,2,6,6,1,False
case_0401,461,R3,repeat,4,T4_context,relational,P8_composite,noncancelling,3,4,4,1,False
case_0402,463,R4,nested,5,T8_interacting,relational,P3_required,noncancelling,2,10,10,1,False
case_0403,463,R4,nested,5,T8_interacting,relational,P3_required,noncancelling,3,10,9,irreducible,True
case_0404,463,R4,nested,5,T8_interacting,relational,P3_required,noncancelling,4,5,3,3,False
case_0405,464,R3,same_value_diff_source,3,T1_stopword,elementwise,P2_len,noncancelling,2,3,0,1,False
case_0406,469,R2,nested,5,T1_stopword,elementwise,P5_uncertainty,noncancelling,2,10,10,1,False
case_0407,469,R2,nested,5,T1_stopword,elementwise,P5_uncertainty,noncancelling,3,10,10,1,False
case_0408,469,R2,nested,5,T1_stopword,elementwise,P5_uncertainty,noncancelling,4,5,5,1,False
case_0409,470,R4,repeat,3,T4_context,relational,P4_provenance,noncancelling,2,3,1,1,False
case_0410,471,R2,random,5,T6_meta_preserving,elementwise,P5_uncertainty,noncancelling,2,10,0,1,False
case_0411,471,R2,random,5,T6_meta_preserving,elementwise,P5_uncertainty,noncancelling,3,10,0,1,False
case_0412,471,R2,random,5,T6_meta_preserving,elementwise,P5_uncertainty,noncancelling,4,5,0,1,False
case_0413,472,R1,nested,5,T6_meta_preserving,elementwise,P9_balance,cancelling,2,10,10,1,False
case_0414,472,R1,nested,5,T6_meta_preserving,elementwise,P9_balance,cancelling,3,10,10,1,False
case_0415,472,R1,nested,5,T6_meta_preserving,elementwise,P9_balance,cancelling,4,5,5,1,False
case_0416,475,R2,overlap,4,T7_meta_destroying,elementwise,P2_len,noncancelling,2,6,0,1,False
case_0417,475,R2,overlap,4,T7_meta_destroying,elementwise,P2_len,noncancelling,3,4,0,1,False
case_0418,476,R3,same_value_diff_source,3,T2_dedup,relational,P7_contradiction,noncancelling,2,3,3,1,False
case_0419,477,R1,nested,5,T2_dedup,relational,P3_required,noncancelling,2,10,6,irreducible,True
case_0420,477,R1,nested,5,T2_dedup,relational,P3_required,noncancelling,3,10,3,irreducible,True
case_0421,477,R1,nested,5,T2_dedup,relational,P3_required,noncancelling,4,5,0,1,False
case_0422,478,R2,nested,5,T8_interacting,relational,P4_provenance,noncancelling,2,10,6,1,False
case_0423,478,R2,nested,5,T8_interacting,relational,P4_provenance,noncancelling,3,10,4,1,False
case_0424,478,R2,nested,5,T8_interacting,relational,P4_provenance,noncancelling,4,5,1,1,False
case_0425,482,R1,alternating,6,T5_reference,elementwise,P1_result,noncancelling,2,15,3,1,False
case_0426,482,R1,alternating,6,T5_reference,elementwise,P1_result,noncancelling,3,20,1,1,False
case_0427,482,R1,alternating,6,T5_reference,elementwise,P1_result,noncancelling,4,15,0,1,False
case_0428,482,R1,alternating,6,T5_reference,elementwise,P1_result,noncancelling,5,6,0,1,False
case_0429,483,R4,same_value_diff_source,3,T8_interacting,relational,P7_contradiction,noncancelling,2,3,3,1,False
case_0430,487,R3,random,3,T5_reference,elementwise,P6_scope,noncancelling,2,3,0,1,False
case_0431,488,R1,overlap,4,T6_meta_preserving,elementwise,P8_composite,noncancelling,2,6,0,1,False
case_0432,488,R1,overlap,4,T6_meta_preserving,elementwise,P8_composite,noncancelling,3,4,0,1,False
case_0433,489,R4,repeat,3,T8_interacting,relational,P3_required,noncancelling,2,3,3,1,False
case_0434,490,R4,overlap,4,T5_reference,elementwise,P8_composite,noncancelling,2,6,0,1,False
case_0435,490,R4,overlap,4,T5_reference,elementwise,P8_composite,noncancelling,3,4,0,1,False
case_0436,492,R4,same_value_diff_source,3,T7_meta_destroying,elementwise,P1_result,noncancelling,2,3,0,1,False
case_0437,493,R4,random,6,T4_context,relational,P3_required,noncancelling,2,15,0,1,False
case_0438,493,R4,random,6,T4_context,relational,P3_required,noncancelling,3,20,0,1,False
case_0439,493,R4,random,6,T4_context,relational,P3_required,noncancelling,4,15,0,1,False
case_0440,493,R4,random,6,T4_context,relational,P3_required,noncancelling,5,6,0,1,False
case_0441,494,R1,same_value_diff_source,3,T3_normalize,elementwise,P4_provenance,noncancelling,2,3,0,1,False
case_0442,496,R1,repeat,3,T7_meta_destroying,elementwise,P8_composite,noncancelling,2,3,0,1,False
case_0443,498,R2,overlap,4,T3_normalize,elementwise,P6_scope,noncancelling,2,6,0,1,False
case_0444,498,R2,overlap,4,T3_normalize,elementwise,P6_scope,noncancelling,3,4,0,1,False
case_0445,500,R2,nested,5,T5_reference,elementwise,P8_composite,noncancelling,2,10,0,1,False
case_0446,500,R2,nested,5,T5_reference,elementwise,P8_composite,noncancelling,3,10,0,1,False
case_0447,500,R2,nested,5,T5_reference,elementwise,P8_composite,noncancelling,4,5,0,1,False
case_0448,503,R1,nested,5,T8_interacting,relational,P1_result,noncancelling,2,10,10,1,False
case_0449,503,R1,nested,5,T8_interacting,relational,P1_result,noncancelling,3,10,9,irreducible,True
case_0450,503,R1,nested,5,T8_interacting,relational,P1_result,noncancelling,4,5,3,3,False
case_0451,508,R2,nested,5,T4_context,relational,P1_result,noncancelling,2,10,0,1,False
case_0452,508,R2,nested,5,T4_context,relational,P1_result,noncancelling,3,10,0,1,False
case_0453,508,R2,nested,5,T4_context,relational,P1_result,noncancelling,4,5,0,1,False
case_0454,510,R1,random,3,T6_meta_preserving,elementwise,P9_balance,cancelling,2,3,3,1,False
case_0455,511,R2,same_value_diff_source,3,T2_dedup,relational,P2_len,noncancelling,2,3,3,1,False
case_0456,515,R2,repeat,3,T2_dedup,relational,P5_uncertainty,noncancelling,2,3,1,1,False
case_0457,520,R1,overlap,4,T2_dedup,relational,P4_provenance,noncancelling,2,6,4,irreducible,True
case_0458,520,R1,overlap,4,T2_dedup,relational,P4_provenance,noncancelling,3,4,0,1,False
case_0459,524,R4,repeat,3,T8_interacting,relational,P5_uncertainty,noncancelling,2,3,3,1,False
case_0460,526,R2,alternating,3,T6_meta_preserving,elementwise,P6_scope,noncancelling,2,3,0,1,False
case_0461,527,R2,nested,5,T7_meta_destroying,elementwise,P6_scope,noncancelling,2,10,0,1,False
case_0462,527,R2,nested,5,T7_meta_destroying,elementwise,P6_scope,noncancelling,3,10,0,1,False
case_0463,527,R2,nested,5,T7_meta_destroying,elementwise,P6_scope,noncancelling,4,5,0,1,False
case_0464,530,R3,nested,5,T5_reference,elementwise,P4_provenance,noncancelling,2,10,0,1,False
case_0465,530,R3,nested,5,T5_reference,elementwise,P4_provenance,noncancelling,3,10,0,1,False
case_0466,530,R3,nested,5,T5_reference,elementwise,P4_provenance,noncancelling,4,5,0,1,False
case_0467,535,R4,random,6,T8_interacting,relational,P3_required,noncancelling,2,15,5,irreducible,True
case_0468,535,R4,random,6,T8_interacting,relational,P3_required,noncancelling,3,20,2,2,False
case_0469,535,R4,random,6,T8_interacting,relational,P3_required,noncancelling,4,15,0,1,False
case_0470,535,R4,random,6,T8_interacting,relational,P3_required,noncancelling,5,6,0,1,False
case_0471,537,R3,nested,5,T4_context,relational,P3_required,noncancelling,2,10,0,1,False
case_0472,537,R3,nested,5,T4_context,relational,P3_required,noncancelling,3,10,0,1,False
case_0473,537,R3,nested,5,T4_context,relational,P3_required,noncancelling,4,5,0,1,False
case_0474,538,R4,overlap,4,T8_interacting,relational,P1_result,noncancelling,2,6,5,irreducible,True
case_0475,538,R4,overlap,4,T8_interacting,relational,P1_result,noncancelling,3,4,2,2,False
case_0476,543,R3,same_value_diff_source,3,T5_reference,elementwise,P9_balance,cancelling,2,3,3,1,False
case_0477,551,R4,same_value_diff_source,3,T3_normalize,elementwise,P3_required,noncancelling,2,3,0,1,False
case_0478,552,R2,nested,5,T8_interacting,relational,P3_required,noncancelling,2,10,6,irreducible,True
case_0479,552,R2,nested,5,T8_interacting,relational,P3_required,noncancelling,3,10,3,irreducible,True
case_0480,552,R2,nested,5,T8_interacting,relational,P3_required,noncancelling,4,5,0,1,False
case_0481,555,R3,random,6,T4_context,relational,P1_result,noncancelling,2,15,0,1,False
case_0482,555,R3,random,6,T4_context,relational,P1_result,noncancelling,3,20,0,1,False
case_0483,555,R3,random,6,T4_context,relational,P1_result,noncancelling,4,15,0,1,False
case_0484,555,R3,random,6,T4_context,relational,P1_result,noncancelling,5,6,0,1,False
case_0485,557,R2,overlap,4,T6_meta_preserving,elementwise,P4_provenance,noncancelling,2,6,0,1,False
case_0486,557,R2,overlap,4,T6_meta_preserving,elementwise,P4_provenance,noncancelling,3,4,0,1,False
case_0487,558,R2,nested,5,T8_interacting,relational,P5_uncertainty,noncancelling,2,10,6,1,False
case_0488,558,R2,nested,5,T8_interacting,relational,P5_uncertainty,noncancelling,3,10,4,1,False
case_0489,558,R2,nested,5,T8_interacting,relational,P5_uncertainty,noncancelling,4,5,1,1,False
case_0490,560,R1,nested,5,T3_normalize,elementwise,P2_len,noncancelling,2,10,0,1,False
case_0491,560,R1,nested,5,T3_normalize,elementwise,P2_len,noncancelling,3,10,0,1,False
case_0492,560,R1,nested,5,T3_normalize,elementwise,P2_len,noncancelling,4,5,0,1,False
case_0493,562,R3,alternating,4,T1_stopword,elementwise,P3_required,noncancelling,2,6,1,1,False
case_0494,562,R3,alternating,4,T1_stopword,elementwise,P3_required,noncancelling,3,4,0,1,False
case_0495,563,R2,repeat,4,T1_stopword,elementwise,P9_balance,cancelling,2,6,6,1,False
case_0496,563,R2,repeat,4,T1_stopword,elementwise,P9_balance,cancelling,3,4,4,1,False
case_0497,568,R4,repeat,4,T3_normalize,elementwise,P8_composite,noncancelling,2,6,0,1,False
case_0498,568,R4,repeat,4,T3_normalize,elementwise,P8_composite,noncancelling,3,4,0,1,False
case_0499,570,R3,alternating,5,T3_normalize,elementwise,P8_composite,noncancelling,2,10,0,1,False
case_0500,570,R3,alternating,5,T3_normalize,elementwise,P8_composite,noncancelling,3,10,0,1,False
case_0501,570,R3,alternating,5,T3_normalize,elementwise,P8_composite,noncancelling,4,5,0,1,False
case_0502,571,R3,same_value_diff_source,3,T5_reference,elementwise,P4_provenance,noncancelling,2,3,0,1,False
case_0503,573,R2,random,6,T3_normalize,elementwise,P4_provenance,noncancelling,2,15,0,1,False
case_0504,573,R2,random,6,T3_normalize,elementwise,P4_provenance,noncancelling,3,20,0,1,False
case_0505,573,R2,random,6,T3_normalize,elementwise,P4_provenance,noncancelling,4,15,0,1,False
case_0506,573,R2,random,6,T3_normalize,elementwise,P4_provenance,noncancelling,5,6,0,1,False
case_0507,575,R1,random,3,T7_meta_destroying,elementwise,P7_contradiction,noncancelling,2,3,0,1,False
case_0508,577,R3,alternating,3,T2_dedup,relational,P4_provenance,noncancelling,2,3,0,1,False
case_0509,579,R4,overlap,4,T8_interacting,relational,P3_required,noncancelling,2,6,5,irreducible,True
case_0510,579,R4,overlap,4,T8_interacting,relational,P3_required,noncancelling,3,4,2,2,False
case_0511,581,R2,same_value_diff_source,3,T2_dedup,relational,P4_provenance,noncancelling,2,3,1,1,False
case_0512,582,R3,random,6,T8_interacting,relational,P6_scope,noncancelling,2,15,2,irreducible,True
case_0513,582,R3,random,6,T8_interacting,relational,P6_scope,noncancelling,3,20,0,1,False
case_0514,582,R3,random,6,T8_interacting,relational,P6_scope,noncancelling,4,15,0,1,False
case_0515,582,R3,random,6,T8_interacting,relational,P6_scope,noncancelling,5,6,0,1,False
case_0516,583,R1,random,5,T3_normalize,elementwise,P9_balance,cancelling,2,10,10,1,False
case_0517,583,R1,random,5,T3_normalize,elementwise,P9_balance,cancelling,3,10,10,1,False
case_0518,583,R1,random,5,T3_normalize,elementwise,P9_balance,cancelling,4,5,5,1,False
case_0519,586,R3,same_value_diff_source,3,T1_stopword,elementwise,P6_scope,noncancelling,2,3,0,1,False
case_0520,587,R3,repeat,3,T6_meta_preserving,elementwise,P7_contradiction,noncancelling,2,3,0,1,False
case_0521,588,R1,overlap,4,T2_dedup,relational,P2_len,noncancelling,2,6,4,irreducible,True
case_0522,588,R1,overlap,4,T2_dedup,relational,P2_len,noncancelling,3,4,0,1,False
case_0523,589,R4,alternating,4,T4_context,relational,P7_contradiction,noncancelling,2,6,0,1,False
case_0524,589,R4,alternating,4,T4_context,relational,P7_contradiction,noncancelling,3,4,0,1,False
case_0525,591,R4,alternating,5,T1_stopword,elementwise,P9_balance,cancelling,2,10,6,1,False
case_0526,591,R4,alternating,5,T1_stopword,elementwise,P9_balance,cancelling,3,10,4,1,False
case_0527,591,R4,alternating,5,T1_stopword,elementwise,P9_balance,cancelling,4,5,1,1,False
case_0528,592,R1,overlap,4,T6_meta_preserving,elementwise,P2_len,noncancelling,2,6,0,1,False
case_0529,592,R1,overlap,4,T6_meta_preserving,elementwise,P2_len,noncancelling,3,4,0,1,False
case_0530,593,R1,overlap,4,T7_meta_destroying,elementwise,P1_result,noncancelling,2,6,0,1,False
case_0531,593,R1,overlap,4,T7_meta_destroying,elementwise,P1_result,noncancelling,3,4,0,1,False
case_0532,608,R3,same_value_diff_source,3,T6_meta_preserving,elementwise,P8_composite,noncancelling,2,3,0,1,False
case_0533,609,R3,nested,5,T2_dedup,relational,P3_required,noncancelling,2,10,6,irreducible,True
case_0534,609,R3,nested,5,T2_dedup,relational,P3_required,noncancelling,3,10,3,irreducible,True
case_0535,609,R3,nested,5,T2_dedup,relational,P3_required,noncancelling,4,5,0,1,False
case_0536,610,R1,repeat,3,T7_meta_destroying,elementwise,P2_len,noncancelling,2,3,0,1,False
case_0537,611,R3,nested,5,T6_meta_preserving,elementwise,P1_result,noncancelling,2,10,0,1,False
case_0538,611,R3,nested,5,T6_meta_preserving,elementwise,P1_result,noncancelling,3,10,0,1,False
case_0539,611,R3,nested,5,T6_meta_preserving,elementwise,P1_result,noncancelling,4,5,0,1,False
case_0540,612,R3,repeat,3,T6_meta_preserving,elementwise,P8_composite,noncancelling,2,3,0,1,False
case_0541,615,R3,overlap,4,T3_normalize,elementwise,P9_balance,cancelling,2,6,6,1,False
case_0542,615,R3,overlap,4,T3_normalize,elementwise,P9_balance,cancelling,3,4,4,1,False
case_0543,616,R3,overlap,4,T7_meta_destroying,elementwise,P8_composite,noncancelling,2,6,0,1,False
case_0544,616,R3,overlap,4,T7_meta_destroying,elementwise,P8_composite,noncancelling,3,4,0,1,False
case_0545,617,R2,random,4,T8_interacting,relational,P9_balance,cancelling,2,6,6,1,False
case_0546,617,R2,random,4,T8_interacting,relational,P9_balance,cancelling,3,4,4,1,False
case_0547,618,R1,repeat,3,T3_normalize,elementwise,P5_uncertainty,noncancelling,2,3,0,1,False
case_0548,619,R1,random,4,T8_interacting,relational,P2_len,noncancelling,2,6,0,1,False
case_0549,619,R1,random,4,T8_interacting,relational,P2_len,noncancelling,3,4,0,1,False
case_0550,620,R4,alternating,5,T6_meta_preserving,elementwise,P5_uncertainty,noncancelling,2,10,0,1,False
case_0551,620,R4,alternating,5,T6_meta_preserving,elementwise,P5_uncertainty,noncancelling,3,10,0,1,False
case_0552,620,R4,alternating,5,T6_meta_preserving,elementwise,P5_uncertainty,noncancelling,4,5,0,1,False
case_0553,623,R4,same_value_diff_source,3,T5_reference,elementwise,P4_provenance,noncancelling,2,3,3,1,False
case_0554,626,R2,overlap,4,T5_reference,elementwise,P3_required,noncancelling,2,6,0,1,False
case_0555,626,R2,overlap,4,T5_reference,elementwise,P3_required,noncancelling,3,4,0,1,False
case_0556,628,R4,nested,5,T6_meta_preserving,elementwise,P5_uncertainty,noncancelling,2,10,0,1,False
case_0557,628,R4,nested,5,T6_meta_preserving,elementwise,P5_uncertainty,noncancelling,3,10,0,1,False
case_0558,628,R4,nested,5,T6_meta_preserving,elementwise,P5_uncertainty,noncancelling,4,5,0,1,False
case_0559,629,R1,nested,5,T6_meta_preserving,elementwise,P9_balance,cancelling,2,10,10,1,False
