seq	bytes	mtime	ext	path	tier	canonical_source
M0147	26394	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180015_review-williamson-knowledge-and-its-limits.md	PRIMARY	M0147
M0148	7984	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180001_todo-list-and-next-steps-assessment.md	PRIMARY	M0148
M0149	19159	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180003_extraction-williamson-knowledge-and-its-limits.md	PRIMARY	M0149
M0150	24648	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180007_review-of-relevant-material.md	PRIMARY	M0150
M0151	27336	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180006_extraction-levesque-lakemeyer-logic-of-knowledge-bases.md	PRIMARY	M0151
M0152	33309	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180018_review-book-as-a-whole.md	PRIMARY	M0152
M0153	26262	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180012_review-yes22.md	PRIMARY	M0153
M0154	43581	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180016_review-actual-attached-extraction.md	PRIMARY	M0154
M0155	18738	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180004_extraction-reiter-knowledge-in-action-SOURCE.md	PRIMARY	M0155
M0156	42256	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180013_review-handbook-treatment.md	PRIMARY	M0156
M0157	21431	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180002_research-mandate-reiter-knowledgeos-derivation-prompt.md	PRIMARY	M0157
M0158	14858	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-180010_research-mandate-reiter-structured-hpa.md	PRIMARY	M0158
M0159	12603	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-181000_r-req-required-distinction-set-analysis.md	PRIMARY	M0159
M0160	16198	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-181001_perplexity-research-response-r-req.md	PRIMARY	M0160
M0161	21298	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-181002_review-yes2.md	PRIMARY	M0161
M0162	16198	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-181003_perplexity-research-response-r-req-variant.md	DUPLICATE	M0160
M0163	33582	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182001_r-req-required-distinction-universe.md	PRIMARY	M0163
M0164	12716	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182012_kr-hr-theory-integration-handbook-of-knowledge-representation.md	PRIMARY	M0164
M0165	42579	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182016_required-distinction.md	PRIMARY	M0165
M0166	32253	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182008_review-read-attached-document-in-full.md	PRIMARY	M0166
M0167	19147	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182011_knowledgeos-ratification-package.md	PRIMARY	M0167
M0168	11991	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182013_kr-rreq-2026-final-ratification-assessment.md	PRIMARY	M0168
M0169	18987	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182020_review-completion-analysis.md	PRIMARY	M0169
M0170	21253	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182018_missing-part-of-completion-assessment-formal.md	PRIMARY	M0170
M0171	64053	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182007_gap-closure-strategy-knowledgeos-formal-completion.md	PRIMARY	M0171
M0172	67614	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182017_spec-det-2026-v1-determination-semantics.md	PRIMARY	M0172
M0173	18299	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182022_review-document-to-the-end.md	PRIMARY	M0173
M0174	13180	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182019_final-closure-open-item-register.md	PRIMARY	M0174
M0175	56403	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182006_final-structural-audit-and-re-specification-protocol.md	PRIMARY	M0175
M0176	10629	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182014_ratification-assessment-final-closure-packages.md	PRIMARY	M0176
M0177	19259	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182023_review-actual-attached-closure-document.md	PRIMARY	M0177
M0178	60264	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182003_consolidated-architectural-audit-and-ratification-adjustment.md	PRIMARY	M0178
M0179	10629	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182015_ratification-assessment-final-closure-packages-variant.md	DUPLICATE	M0176
M0180	20750	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182010_review-consolidation-as-senior-statistician.md	PRIMARY	M0180
M0181	13716	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182005_final-architectural-review-knowledgeos-theory-v13.md	PRIMARY	M0181
M0182	15556	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182002_comprehensive-architectural-audit-and-formal-verification.md	PRIMARY	M0182
M0183	20170	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182009_review-as-senior-mathematician.md	PRIMARY	M0183
M0184	49748	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182026_review-exceptionally-sharp-rigorous-variant.md	PRIMARY	M0184
M0185	49748	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182025_review-exceptionally-sharp-rigorous.md	DUPLICATE	M0184
M0186	12190	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182021_review-newer-attached-material.md	PRIMARY	M0186
M0187	26875	2026-09-02	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182024_review-magisterial-definitive-structural.md	PRIMARY	M0187
M0188	38978	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182004_files-to-read-one-by-one.log.md	PRIMARY	M0188
M0189	33918	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-182027_experiment-zero-kr-zero-algebra-prompt.md	PRIMARY	M0189
M0190	12776	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-183102_untitled-6-working-notes.md	PRIMARY	M0190
M0191	16974	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-183103_review-now-coherent-enough.md	PRIMARY	M0191
M0192	6152	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-183101_review-read-attached-document-variant.md	PRIMARY	M0192
M0193	13311	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-183104_review-after-reading-the-book-more-closely.md	PRIMARY	M0193
M0194	9621	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-184000_review-of-kr-zero-algebra-commissioning-kr-zero-group.md	PRIMARY	M0194
M0195	9463	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-184001_review-read-the-actual-results.md	PRIMARY	M0195
M0196	11747	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260902-185500_review-very-close-to-the-mathematical-core.md	PRIMARY	M0196
M0197	20307	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-090001_review-do-not-give-claude-the-harness-with-expectations.md	PRIMARY	M0197
M0198	32383	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-090000_master-handoff-representation-reduction-under-preservation-contracts.md	PRIMARY	M0198
M0199	2744	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-090002_untitled-5.md	PRIMARY	M0199
M0200	3879	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-092003_clarification-what-raw-kr-zero-records-means.md	PRIMARY	M0200
M0201	9214	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-092007_review-yes.md	PRIMARY	M0201
M0202	5374	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-092008_frozen-contract-is-coherent.md	PRIMARY	M0202
M0203	3332	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-092001_agreed-sufficiently-constrained.md	PRIMARY	M0203
M0204	3998	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-092004_response-correct-procedurally.md	PRIMARY	M0204
M0205	3332	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-092002_agreed-sufficiently-constrained-variant.md	DUPLICATE	M0203
M0206	3998	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-092005_response-correct-procedurally-variant.md	DUPLICATE	M0204
M0207	5972	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-092009_revision-substantially-stronger.md	PRIMARY	M0207
M0208	6524	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-092010_with-additional-theoretical-material.md	PRIMARY	M0208
M0209	8481	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-092006_strong-protocol-with-modifications.md	PRIMARY	M0209
M0210	11564	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-093501_close-to-mathematical-core-variant-1.md	PRIMARY	M0210
M0211	11564	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-093502_close-to-mathematical-core.md	DUPLICATE	M0210
M0212	5337	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-093503_agree-with-interpretation.md	PRIMARY	M0212
M0213	12312	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-093000_prompt-design-the-r5-r2-reduction-experiment.md	PRIMARY	M0213
M0214	8645	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-093504_yes-with-important-qualification.md	PRIMARY	M0214
M0215	11564	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-094002_close-to-mathematical-core-variant-2.md	DUPLICATE	M0210
M0216	11513	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-094001_review-read-the-attached-document.md	PRIMARY	M0216
M0217	8481	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-094003_strong-protocol-with-modifications-variant.md	DUPLICATE	M0209
M0218	16251	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-100001_review-yes.md	PRIMARY	M0218
M0219	17717	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-100000_review-of-kr-rep-reduction-results.md	PRIMARY	M0219
M0220	11481	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-110001_can-study-the-book-systematically.md	PRIMARY	M0220
M0221	8650	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-110000_review-of-kr-zero-order-three-corrections.md	PRIMARY	M0221
M0222	15613	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-120002_review-inspected-the-uploaded-artifact.md	PRIMARY	M0222
M0223	26491	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-120001_review-read-attached-file-in-full.md	PRIMARY	M0223
M0224	8642	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-120004_refinements-complete-a-rigorous-aim.md	PRIMARY	M0224
M0225	23560	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260903-120003_review-of-the-corrected-artifact.md	PRIMARY	M0225
M0226	22386	2026-09-03	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-080000_prompt-kr-bridge-01-zero-preservation.md	PRIMARY	M0226
M0227	12292	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-080001_strong-hypothesis-generating.md	PRIMARY	M0227
M0228	14216	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-090001_strong-hypothesis-generating-variant.md	PRIMARY	M0228
M0229	17190	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-090000_review-kr-bridge-01-accepted-vary-pi-and-q-next.md	PRIMARY	M0229
M0230	19655	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-101500_business-meaning-safe-removal-vs-outcome-preservation.md	PRIMARY	M0230
M0231	37160	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-102000_consolidated-research-theory-draft-not-v13-ratification.md	PRIMARY	M0231
M0232	44590	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-003155_senior-mathematician-pass-separating-definitions-from-findings.md	PRIMARY	M0232
M0233	19978	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-004858_assessment-of-kr-rep-reduction-and-kr-zero-three-way-separation.md	PRIMARY	M0233
M0234	18695	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-005346_are-we-ready-to-freeze-the-kernel-close-but-not-proved.md	PRIMARY	M0234
M0235	53272	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-014317_kernel-minimality-as-a-relative-conditional-proof-not-universal.md	PRIMARY	M0235
M0236	41452	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-014642_unified-formal-evaluation-kernel-minimality-semantic-capability-ordering.md	PRIMARY	M0236
M0237	18417	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-014807_substantial-agreement-with-corrections-minimality-and-ratification.md	PRIMARY	M0237
M0238	5934	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-015837_close-to-freeze-quality-four-final-corrections-to-sem-equivalence.md	PRIMARY	M0238
M0239	11353	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-020004_remaining-todos-after-v12-freeze-formal-semantic-equivalence.md	PRIMARY	M0239
M0240	54901	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-020642_defining-the-remaining-formal-todos-semantic-environment-first.md	PRIMARY	M0240
M0241	12216	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-020658_review-478-line-proof-spec-stronger-but-not-freezable-duplicate.md	PRIMARY	M0241
M0242	12216	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-021025_review-478-line-proof-spec-stronger-but-not-freezable.md	DUPLICATE	M0241
M0243	5177	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-021056_accept-review-as-basis-with-one-mathematical-correction.md	PRIMARY	M0243
M0244	2366	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-021125_proof-design-assessment-line-numbered-do-not-move-to-v13.md	PRIMARY	M0244
M0245	13713	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-021358_knowledge-algebra-is-not-an-empty-field-literature-search.md	PRIMARY	M0245
M0246	13713	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-022323_knowledge-algebra-is-not-an-empty-field-literature-search-duplicate.md	DUPLICATE	M0245
M0247	31172	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-023055_vedic-math-genius-full-read-material-for-knowledge-algebra.md	PRIMARY	M0247
M0248	22713	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-023324_vedic-material-reviewed-radically-structures-behind-the-methods.md	PRIMARY	M0248
M0249	17132	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-023859_vedic-math-genius-operational-tricks-vs-structural-invariants.md	PRIMARY	M0249
M0250	24778	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-024854_atharva-veda-plus-vedic-math-toward-a-ddd-architecture.md	PRIMARY	M0250
M0251	16937	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-025932_atharva-veda-no-negative-numbers-but-structures-for-negation.md	PRIMARY	M0251
M0252	8002	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-030723_relational-dialectical-model-argument-challenge-counter-resolution.md	PRIMARY	M0252
M0253	22294	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-031628_vedic-critique-fits-but-misses-the-challenge-resolution-layer.md	PRIMARY	M0253
M0254	3946	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-031710_purification-as-hypothesis-argument-plus-challenge.md	PRIMARY	M0254
M0255	5702	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-110500_theory-01-primitives-and-signatures.md	PRIMARY	M0255
M0256	5349	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-111000_theory-02-the-three-question-separation.md	PRIMARY	M0256
M0257	6095	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-112000_theory-04-adequacy-information-theory-and-dpi.md	PRIMARY	M0257
M0258	4204	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-112500_theory-05-realization-and-the-decoder.md	PRIMARY	M0258
M0259	5298	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-113000_theory-06-representation-reduction-boundary.md	PRIMARY	M0259
M0260	7977	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-113500_theory-07-the-bridge-programme-negative-result.md	PRIMARY	M0260
M0261	6628	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-114000_theory-08-contradiction-and-evaluation-structure.md	PRIMARY	M0261
M0262	6926	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-114500_theory-09-frozen-and-refuted-register.md	PRIMARY	M0262
M0263	6720	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-115000_theory-10-experimental-methodology-and-falsification.md	PRIMARY	M0263
M0264	5667	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-115500_theory-11-statistical-inference-standards.md	PRIMARY	M0264
M0265	10822	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-120000_theory-12-ddd-architecture-of-the-kernel.md	PRIMARY	M0265
M0266	6098	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-120500_theory-13-open-questions-and-forward-programme.md	PRIMARY	M0266
M0267	6648	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-110000_theory-00-index-and-reading-order.md	PRIMARY	M0267
M0268	11051	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-122000_theory-03a-the-concept-of-zero.md	PRIMARY	M0268
M0269	8201	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-111500_theory-03-zero-definition-and-algebra.md	PRIMARY	M0269
M0270	14913	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-032834_madhyamaka-time-indexed-kt-losing-a-determination-not-emptiness.md	PRIMARY	M0270
M0271	16534	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-033025_kr-state-transition-01-the-transition-as-an-epistemic-object.md	PRIMARY	M0271
M0272	32642	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-033633_where-sunya-appears-after-ddd-separation-of-concerns.md	PRIMARY	M0272
M0273	12638	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-034706_shiva-poison-metaphor-neutralization-that-leaves-a-trace.md	PRIMARY	M0273
M0274	13709	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-034828_nilakantha-metaphor-useful-direction-not-yet-an-algebraic-fact.md	PRIMARY	M0274
M0275	10942	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-035255_multiple-non-equivalent-zeros-imply-kt-is-not-scalar.md	PRIMARY	M0275
M0276	7991	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-035450_knowledge-as-an-epistemic-probability-space.md	PRIMARY	M0276
M0277	6114	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-035641_zeros-as-projections-of-a-multidimensional-epistemic-state.md	PRIMARY	M0277
M0278	6662	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-035733_four-corrections-independent-is-too-strong-for-the-zeros.md	PRIMARY	M0278
M0279	7401	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-040222_kr-state-01-working-spec-with-one-statistical-correction.md	PRIMARY	M0279
M0280	34092	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-041134_recursive-epistemic-base-kt1-as-the-next-reasoning-start.md	PRIMARY	M0280
M0281	8791	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-041510_kr-state-01-baseline-the-object-of-study-is-the-trajectory.md	PRIMARY	M0281
M0282	26444	2026-09-04	md	docs/knowledgeos/brainstorming/mathematical_ideas_that_can_be_implemented/20260904-042545_knowledge-zero-as-zeroing-selected-dimensions-focus-vs-surface.md	PRIMARY	M0282
